Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/11/2019","2,750","10,513","7.6","12","737","236","8","11","1,185"
"2/11/2019","2,984","11,365","8.26","11","724","294","21","7","1,464"
"3/11/2019","2,727","9,337","6.73","4","788","265","0","0","1,171"
"4/11/2019","2,973","12,557","9.12","17","710","278","20","14","1,478"
"5/11/2019","2,930","12,074","8.7","16","725","247","18","16","1,388"
"6/11/2019","2,991","12,351","8.92","27","651","291","15","14","1,487"
"7/11/2019","2,625","6,922","5.03","13","799","180","5","14","917"
"8/11/2019","3,547","19,199","13.82","17","534","434","33","21","2,256"
"9/11/2019","2,162","2,563","1.79","2","732","118","0","0","452"
"10/11/2019","3,246","17,461","12.66","17","630","335","29","34","1,904"
"11/11/2019","2,962","13,284","9.61","21","717","234","24","31","1,455"
"12/11/2019","2,942","11,323","8.13","20","639","240","25","27","1,404"
"13/11/2019","3,300","15,841","11.43","9","557","370","29","12","1,898"
"14/11/2019","3,351","15,833","11.45","28","597","310","40","56","1,940"
"15/11/2019","2,600","7,236","5.26","7","769","163","18","7","937"
"16/11/2019","3,276","14,139","10.23","22","643","322","42","16","1,808"
"17/11/2019","2,385","5,774","4.17","5","855","161","0","0","728"
"18/11/2019","2,861","11,376","8.17","10","705","237","27","17","1,321"
"19/11/2019","3,054","13,436","9.47","15","740","299","37","14","1,608"
"20/11/2019","2,992","13,657","9.78","10","628","301","20","15","1,544"
"21/11/2019","2,290","4,542","3.3","3","824","123","5","6","613"
"22/11/2019","3,117","12,403","8.95","8","666","319","20","5","1,613"
"23/11/2019","3,383","17,272","12.51","14","562","312","42","36","1,964"
"24/11/2019","3,811","20,428","14.84","27","541","385","45","39","2,473"
"25/11/2019","2,983","12,115","8.9","14","681","281","21","9","1,492"
"26/11/2019","3,117","15,059","10.75","28","653","314","25","12","1,682"
"27/11/2019","2,870","11,462","8.28","23","670","267","2","9","1,325"
"28/11/2019","2,608","7,588","5.51","5","771","235","0","0","1,032"
"29/11/2019","3,779","21,687","15.52","18","519","424","48","31","2,511"
"30/11/2019","3,434","16,180","11.74","15","550","417","22","9","2,097"

