Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/7/2019","2,798","10,052","7.3","5","596","279","8","0","1,266"
"2/7/2019","3,097","14,723","10.62","7","780","301","20","16","1,612"
"3/7/2019","3,118","15,529","10.99","7","613","340","25","16","1,735"
"4/7/2019","3,048","12,970","9.38","10","751","293","18","19","1,557"
"5/7/2019","3,120","13,556","10.56","10","568","149","36","73","1,492"
"6/7/2019","3,282","16,667","11.87","11","486","375","7","3","1,858"
"7/7/2019","3,069","14,177","10.22","7","598","313","18","3","1,633"
"8/7/2019","3,139","13,520","9.77","6","676","336","6","10","1,642"
"9/7/2019","2,947","12,681","9.16","8","718","297","6","5","1,425"
"10/7/2019","3,357","17,930","12.97","7","571","338","44","30","1,982"
"11/7/2019","3,134","15,022","10.87","19","653","296","19","21","1,644"
"12/7/2019","3,387","17,076","12.24","12","553","382","31","21","2,035"
"13/7/2019","3,401","16,354","11.8","10","476","380","22","13","2,009"
"14/7/2019","3,185","15,633","11.27","8","649","377","0","0","1,777"
"15/7/2019","2,875","11,217","8.21","2","726","251","16","27","1,354"
"16/7/2019","3,136","12,579","9.09","12","614","309","24","20","1,667"
"17/7/2019","2,961","10,461","7.55","13","725","247","19","11","1,355"
"18/7/2019","3,216","15,360","11.07","6","621","237","69","21","1,702"
"19/7/2019","3,052","13,245","9.59","11","711","299","24","7","1,566"
"20/7/2019","3,881","17,484","12.61","8","462","248","95","81","2,550"
"21/7/2019","2,926","10,160","7.22","10","850","211","50","16","1,364"
"22/7/2019","3,301","15,736","11.4","11","573","273","40","52","1,862"
"23/7/2019","3,342","16,579","12.01","10","643","330","30","32","1,933"
"24/7/2019","3,165","15,523","11.22","9","645","322","40","19","1,758"
"25/7/2019","3,298","16,553","11.99","9","622","332","22","19","1,875"
"26/7/2019","3,065","14,629","10.62","16","676","224","25","41","1,520"
"27/7/2019","3,491","18,072","13.07","19","527","377","44","9","2,135"
"28/7/2019","2,918","10,929","7.94","15","850","219","27","22","1,312"
"29/7/2019","2,806","10,365","7.54","10","707","222","13","21","1,226"
"30/7/2019","3,037","13,522","9.69","12","696","270","34","12","1,538"
"31/7/2019","3,318","17,072","12.38","13","571","295","59","30","1,902"

