Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/12/2019","2,637","7,427","5.38","10","824","203","15","9","1,021"
"2/12/2019","2,921","10,305","7.49","4","677","326","6","0","1,472"
"3/12/2019","4,307","30,056","21.76","16","297","411","127","52","3,176"
"4/12/2019","3,476","17,946","13.01","11","602","270","60","57","2,008"
"5/12/2019","4,022","24,608","18.46","10","519","277","57","118","2,669"
"6/12/2019","2,943","11,955","8.63","3","748","255","19","23","1,423"
"7/12/2019","3,071","13,351","10.57","4","581","134","27","83","1,509"
"8/12/2019","2,776","10,106","7.34","0","743","261","15","4","1,244"
"9/12/2019","3,480","20,606","14.88","8","610","416","32","21","2,181"
"10/12/2019","3,091","16,029","11.64","6","487","296","20","31","1,670"
"11/12/2019","3,421","19,278","13.91","7","508","391","42","17","2,104"
"12/12/2019","4,025","26,719","20.81","28","444","273","48","128","2,725"
"13/12/2019","3,369","19,585","14.2","13","650","328","36","28","1,978"
"14/12/2019","3,343","16,626","12.06","5","503","350","43","17","1,945"
"15/12/2019","2,897","12,152","8.83","2","602","328","8","0","1,465"
"16/12/2019","2,944","13,387","9.84","2","683","299","10","12","1,487"
"17/12/2019","3,105","14,917","10.76","3","626","305","35","16","1,680"
"18/12/2019","2,964","12,989","9.27","2","689","302","11","21","1,515"
"19/12/2019","2,942","13,157","9.45","3","609","296","17","13","1,491"
"20/12/2019","3,426","17,595","12.75","7","545","411","31","5","2,093"
"21/12/2019","3,021","10,764","7.8","37","710","341","18","2","1,562"
"22/12/2019","3,977","22,007","17.53","24","583","338","50","82","2,670"
"23/12/2019","2,911","12,775","9.08","0","603","285","11","16","1,451"
"24/12/2019","3,025","13,335","10.81","11","636","150","45","58","1,481"
"25/12/2019","4,211","20,301","15.6","22","558","294","103","109","2,982"
"26/12/2019","3,722","21,526","15.96","14","564","277","50","106","2,375"
"27/12/2019","2,847","10,215","8.57","4","747","109","11","65","1,172"
"28/12/2019","2,956","8,181","5.89","4","612","159","120","24","1,491"
"29/12/2019","2,271","4,956","3.6","0","788","158","0","0","651"
"30/12/2019","2,925","13,479","9.77","4","593","272","29","14","1,454"
"31/12/2019","3,455","18,099","13.15","16","579","379","49","14","2,134"

