Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/2/2020","3,886","19,408","15.07","31","602","260","56","106","2,520"
"2/2/2020","3,045","12,718","9.24","4","634","342","13","8","1,612"
"3/2/2020","2,588","9,085","6.57","14","878","213","9","5","993"
"4/2/2020","2,642","10,407","7.43","8","917","198","12","18","1,075"
"5/2/2020","3,030","13,757","10.11","3","666","215","32","42","1,505"
"6/2/2020","2,813","10,915","7.61","9","764","234","8","13","1,229"
"7/2/2020","3,496","19,300","13.84","8","452","335","55","39","2,121"
"8/2/2020","2,279","4,394","3.19","3","781","166","0","0","667"
"9/2/2020","2,738","7,281","5.27","3","729","278","5","3","1,226"
"10/2/2020","2,872","11,478","8.26","4","744","243","13","25","1,325"
"11/2/2020","2,785","10,831","7.85","7","704","288","12","1","1,290"
"12/2/2020","2,573","8,660","6.28","4","732","225","12","0","1,018"
"13/2/2020","2,690","9,851","7.15","7","719","239","5","7","1,129"
"14/2/2020","3,287","19,153","13.81","11","647","239","57","50","1,836"
"15/2/2020","2,965","11,888","8.64","3","650","303","20","0","1,466"
"16/2/2020","2,989","10,838","7.86","9","705","341","22","3","1,550"
"17/2/2020","2,859","11,770","8.53","6","701","256","7","19","1,333"
"18/2/2020","3,086","14,391","10.25","5","678","317","17","20","1,647"
"19/2/2020","2,784","10,276","7.46","11","780","212","13","27","1,184"
"20/2/2020","3,427","20,108","14.61","13","636","299","55","42","2,008"
"21/2/2020","2,934","11,612","8.43","19","720","281","15","24","1,450"
"22/2/2020","3,147","11,689","8.66","10","636","165","31","69","1,545"
"23/2/2020","2,808","8,970","6.52","4","689","305","0","0","1,292"
"24/2/2020","3,285","17,994","12.99","11","1,014","367","44","15","1,947"
"25/2/2020","2,689","10,230","7.38","12","726","214","9","14","1,135"
"26/2/2020","2,737","9,707","6.97","10","731","229","6","12","1,146"
"27/2/2020","2,699","10,051","7.29","13","763","173","18","28","1,105"
"28/2/2020","3,085","13,887","10.05","6","657","310","23","13","1,622"
"29/2/2020","3,111","13,060","10.49","7","760","176","25","59","1,506"

