Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/1/2020","2,997","9,705","6.91","5","662","272","78","4","1,592"
"2/1/2020","3,060","14,843","10.73","7","700","282","30","21","1,619"
"3/1/2020","3,304","15,154","10.82","6","701","289","77","29","1,905"
"4/1/2020","2,987","13,222","9.56","3","602","270","44","5","1,505"
"5/1/2020","3,703","18,762","15.65","9","700","256","22","90","2,292"
"6/1/2020","2,940","14,406","10.37","16","667","236","10","38","1,440"
"7/1/2020","2,871","10,904","7.89","13","710","275","20","9","1,372"
"8/1/2020","3,078","15,230","10.87","11","644","313","16","16","1,638"
"9/1/2020","3,669","21,162","16.29","12","627","231","28","118","2,266"
"10/1/2020","2,809","10,532","7.54","3","712","266","8","16","1,287"
"11/1/2020","3,980","23,818","18.43","15","557","263","57","109","2,636"
"12/1/2020","2,662","9,743","7.08","2","672","251","3","11","1,159"
"13/1/2020","2,768","10,941","7.75","5","735","253","9","0","1,226"
"14/1/2020","3,108","13,974","11.61","8","706","167","21","64","1,550"
"15/1/2020","2,928","12,829","9","3","674","301","23","9","1,479"
"16/1/2020","2,860","12,090","8.67","8","738","278","27","15","1,403"
"17/1/2020","2,125","2,858","2.06","0","894","92","0","0","385"
"18/1/2020","3,085","14,395","10.42","19","668","270","41","16","1,588"
"19/1/2020","2,971","11,852","8.61","2","574","396","8","0","1,622"
"20/1/2020","2,805","11,589","8.39","5","676","254","15","19","1,321"
"21/1/2020","2,591","9,007","6.51","4","767","212","3","6","1,014"
"22/1/2020","3,181","16,232","11.72","20","643","315","15","25","1,756"
"23/1/2020","3,371","17,404","13.35","12","651","267","43","56","1,972"
"24/1/2020","3,377","14,768","11.76","16","663","211","29","74","1,825"
"25/1/2020","2,710","7,628","5.52","6","685","283","0","0","1,154"
"26/1/2020","2,180","2,570","1.87","1","797","108","0","0","437"
"27/1/2020","2,590","6,788","4.93","0","745","195","22","0","995"
"28/1/2020","2,350","4,351","3.16","1","807","173","0","0","697"
"29/1/2020","2,079","1,811","1.31","0","890","97","0","0","344"
"30/1/2020","2,767","10,968","7.95","8","780","242","22","21","1,283"
"31/1/2020","2,223","3,478","2.53","0","815","142","0","0","567"

