Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/3/2020","3,388","17,498","12.74","5","563","367","40","11","2,004"
"2/3/2020","2,713","10,014","7.22","6","771","247","9","11","1,182"
"3/3/2020","2,831","11,295","8.12","6","694","260","9","17","1,307"
"4/3/2020","2,813","11,087","8.02","10","749","206","21","24","1,251"
"5/3/2020","3,805","19,780","15.3","11","534","308","38","87","2,449"
"6/3/2020","3,150","15,022","10.76","1","656","311","29","31","1,721"
"7/3/2020","3,111","12,728","11.38","2","768","80","37","84","1,520"
"8/3/2020","2,703","9,279","7.65","5","721","166","8","35","1,129"
"9/3/2020","2,605","9,669","6.88","3","727","209","14","11","1,066"
"10/3/2020","2,940","13,388","9.6","5","724","236","25","39","1,443"
"11/3/2020","3,128","15,383","11.08","12","694","338","27","17","1,752"
"12/3/2020","3,525","20,372","15.75","14","624","270","53","63","2,131"
"13/3/2020","2,639","9,437","6.8","6","782","202","13","10","1,063"
"14/3/2020","2,896","11,319","8.22","5","596","227","18","23","1,321"
"15/3/2020","3,028","11,669","8.45","12","804","352","0","0","1,569"
"16/3/2020","2,835","12,001","8.72","8","718","267","8","22","1,368"
"17/3/2020","2,882","12,137","8.75","9","659","269","12","16","1,382"
"18/3/2020","3,467","20,812","15.02","16","625","246","73","68","2,086"
"19/3/2020","2,736","10,593","7.59","5","782","217","8","16","1,149"
"20/3/2020","3,103","14,755","10.61","7","629","261","42","33","1,629"
"21/3/2020","3,190","15,057","10.93","11","622","350","33","7","1,780"
"22/3/2020","2,145","3,144","2.25","4","746","99","9","0","455"
"23/3/2020","2,496","11,335","8.22","1","551","232","13","20","1,237"

