Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/6/2019","3,430","17,185","12.46","12","478","368","34","8","2,015"
"2/6/2019","2,670","8,502","6.18","12","759","217","9","6","1,073"
"3/6/2019","3,008","12,036","8.69","7","758","265","19","18","1,427"
"4/6/2019","3,277","12,732","9.25","7","671","305","39","19","1,746"
"5/6/2019","3,564","14,450","10.46","10","457","276","84","45","2,117"
"6/6/2019","2,742","8,912","6.42","6","777","213","19","17","1,146"
"7/6/2019","2,710","9,249","6.67","7","728","170","15","25","1,055"
"8/6/2019","3,954","22,575","16.35","12","498","400","81","30","2,639"
"9/6/2019","2,951","8,966","6.51","4","799","311","0","0","1,338"
"10/6/2019","3,255","12,131","8.77","7","716","291","24","14","1,631"
"11/6/2019","3,107","12,267","8.87","9","691","274","25","17","1,555"
"12/6/2019","3,339","14,862","10.8","15","664","320","38","27","1,859"
"13/6/2019","3,009","12,322","8.94","14","730","238","31","25","1,453"
"14/6/2019","3,708","18,101","13.17","29","494","326","56","65","2,292"
"15/6/2019","3,371","13,211","9.57","11","613","175","115","44","1,828"
"16/6/2019","3,706","19,731","14.25","32","656","358","35","45","2,280"
"17/6/2019","3,113","13,254","9.63","9","676","281","18","22","1,560"
"18/6/2019","3,333","15,111","10.93","10","640","326","42","20","1,919"
"19/6/2019","3,266","14,937","10.76","9","614","352","5","8","1,779"
"20/6/2019","2,991","12,716","9.2","8","711","269","16","13","1,422"
"21/6/2019","3,283","12,734","9.2","12","622","320","21","20","1,762"
"22/6/2019","3,918","22,006","15.92","10","421","438","51","32","2,664"
"23/6/2019","3,287","13,750","9.95","8","738","403","9","2","1,873"
"24/6/2019","3,277","15,115","10.91","15","697","273","35","34","1,750"
"25/6/2019","3,357","15,471","11.24","13","519","370","34","14","1,960"
"26/6/2019","3,318","15,918","11.52","16","606","223","65","44","1,762"
"27/6/2019","3,153","11,818","8.57","15","621","350","3","5","1,633"
"28/6/2019","3,281","12,906","9.32","10","1,073","314","26","27","1,751"
"29/6/2019","4,244","18,047","13.08","5","358","253","185","72","2,957"
"30/6/2019","3,535","16,272","11.71","10","566","293","75","21","2,050"

