Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/10/2019","2,770","11,094","8.04","7","753","235","17","8","1,221"
"2/10/2019","2,694","9,348","6.75","8","746","220","21","9","1,131"
"3/10/2019","2,807","10,027","7.27","16","794","236","14","12","1,217"
"4/10/2019","2,268","2,880","2.09","3","1,013","113","0","0","457"
"5/10/2019","2,631","7,192","5.22","8","847","207","0","0","958"
"6/10/2019","3,197","12,971","9.42","10","643","405","0","0","1,786"
"7/10/2019","2,944","13,148","9.54","10","748","261","15","25","1,450"
"8/10/2019","2,903","11,604","8.37","13","726","245","30","19","1,404"
"9/10/2019","3,067","13,960","9.92","18","697","283","29","24","1,613"
"10/10/2019","2,888","11,940","8.48","14","748","270","18","14","1,397"
"11/10/2019","2,652","8,300","6.03","7","1,240","167","19","14","946"
"12/10/2019","2,698","7,464","5.44","5","859","248","6","2","1,091"
"13/10/2019","2,488","6,775","4.89","2","700","202","0","0","872"
"14/10/2019","2,775","10,912","7.76","21","808","224","17","20","1,239"
"15/10/2019","2,750","10,452","7.53","10","838","233","18","15","1,214"
"16/10/2019","3,088","15,166","11","20","800","334","13","10","1,677"
"17/10/2019","2,729","10,734","7.39","13","1,006","202","11","14","1,142"
"18/10/2019","3,561","17,424","12.65","19","631","368","45","34","2,219"
"19/10/2019","3,038","13,002","9.44","12","705","279","24","18","1,547"
"20/10/2019","2,952","11,321","8.14","6","847","327","7","3","1,468"
"21/10/2019","2,673","8,734","6.26","6","807","224","15","12","1,105"
"22/10/2019","2,234","2,456","1.78","2","799","130","0","0","488"
"23/10/2019","2,840","11,112","8.05","17","731","205","14","23","1,231"
"24/10/2019","2,976","11,843","8.56","14","745","271","15","22","1,449"
"25/10/2019","2,804","8,355","6.07","10","792","255","6","3","1,167"
"26/10/2019","2,801","8,788","6.38","12","579","244","11","8","1,201"
"27/10/2019","3,350","15,005","10.77","18","671","321","27","27","1,856"
"28/10/2019","2,497","7,252","5.22","6","816","197","16","4","935"
"29/10/2019","2,956","11,733","8.46","18","659","259","26","17","1,444"
"30/10/2019","3,095","14,111","10.03","17","669","274","24","31","1,615"
"31/10/2019","2,197","2,628","1.91","1","958","107","9","0","454"

