Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"1/8/2019","3,111","13,408","9.61","10","655","355","7","2","1,673"
"2/8/2019","3,043","14,314","10.37","12","177","285","40","12","1,583"
"3/8/2019","4,182","26,664","19.03","16","519","379","98","62","2,935"
"4/8/2019","2,769","9,507","6.88","10","768","246","5","13","1,216"
"5/8/2019","2,805","10,536","7.63","7","649","292","10","8","1,334"
"6/8/2019","2,883","12,220","8.77","14","722","255","16","38","1,413"
"7/8/2019","2,915","11,932","8.56","14","628","272","23","17","1,444"
"8/8/2019","3,362","15,794","11.36","10","518","287","50","29","1,908"
"9/8/2019","2,979","10,627","7.86","9","626","285","8","20","1,450"
"10/8/2019","3,007","12,806","9.27","15","565","215","45","26","1,441"
"11/8/2019","3,121","13,639","9.91","4","526","375","0","0","1,711"
"12/8/2019","2,831","10,097","7.36","7","688","260","10","15","1,316"
"13/8/2019","2,909","10,204","7.34","11","747","256","10","10","1,320"
"14/8/2019","3,334","12,318","8.91","12","624","304","48","24","1,864"
"15/8/2019","2,919","12,042","8.71","13","1,131","257","26","26","1,431"
"16/8/2019","2,447","5,347","3.88","4","782","185","0","0","773"
"17/8/2019","3,050","12,249","8.9","6","562","354","12","2","1,620"
"18/8/2019","3,002","12,026","8.74","5","732","333","17","5","1,591"
"19/8/2019","2,868","11,322","8.16","8","678","238","33","16","1,361"
"20/8/2019","3,130","15,149","10.98","18","677","316","13","20","1,696"
"21/8/2019","3,104","14,035","10.09","22","669","322","21","16","1,658"
"22/8/2019","3,029","13,038","9.39","16","748","265","28","15","1,528"
"23/8/2019","3,118","14,788","10.57","16","646","294","21","28","1,651"
"24/8/2019","3,178","14,687","10.58","8","420","263","49","22","1,714"
"25/8/2019","2,921","11,902","8.56","5","647","270","9","24","1,423"
"26/8/2019","3,247","15,587","11.25","10","861","308","36","14","1,769"
"27/8/2019","3,101","14,264","10.14","8","685","254","40","29","1,603"
"28/8/2019","3,143","14,713","10.62","13","666","302","18","32","1,680"
"29/8/2019","2,868","10,779","7.83","11","719","266","19","8","1,348"
"30/8/2019","2,565","6,985","5.07","2","807","185","16","5","955"
"31/8/2019","3,097","12,572","9.06","6","566","247","28","26","1,499"

